当前排名,代码,股票名称,最新价,涨跌额,涨跌幅,date
57,SZ002207,准油股份,5.82,0.583164,10.02,2025-02-28
58,SH605300,佳禾食品,18.43,1.848529,10.03,2025-02-28
59,SH603690,至纯科技,28.61,2.861,10.0,2025-02-28
60,SH603626,科森科技,10.58,0.330096,3.12,2025-02-28
61,SZ002354,天娱数科,7.09,-0.7111269999999998,-10.03,2025-02-28
62,SH603037,凯众股份,19.38,1.936062,9.99,2025-02-28
63,SZ002227,奥 特 迅,12.52,1.2545039999999998,10.02,2025-02-28
64,SZ300191,潜能恒信,16.24,3.252872,20.03,2025-02-28
65,SZ300687,赛意信息,29.3,4.79348,16.36,2025-02-28
66,SZ300302,同有科技,20.97,1.709055,8.15,2025-02-28
67,SH601177,杭齿前进,17.36,-0.7916159999999999,-4.56,2025-02-28
68,SZ300846,首都在线,31.12,-2.063256,-6.63,2025-02-28
69,SH600884,杉杉股份,8.25,0.38775,4.7,2025-02-28
70,SZ300083,创世纪,9.19,0.1838,2.0,2025-02-28
71,SZ002131,利欧股份,3.98,-0.2352179999999999,-5.91,2025-02-28
72,SH600580,卧龙电驱,25.65,-2.18538,-8.52,2025-02-28
73,SZ301022,海泰科,28.92,5.784000000000001,20.0,2025-02-28
74,SZ002616,长青集团,6.31,0.626583,9.93,2025-02-28
75,SZ001359,平安电工,29.83,2.980017,9.99,2025-02-28
76,SZ002456,欧菲光,13.7,-0.25482,-1.86,2025-02-28
77,SH603118,共进股份,14.01,-0.6024299999999999,-4.3,2025-02-28
78,SZ002692,远程股份,5.54,0.5495680000000001,9.92,2025-02-28
79,SZ920002,万达轴承,230.0,-14.121999999999998,-6.14,2025-02-28
80,SH601933,永辉超市,5.33,0.0506349999999999,0.95,2025-02-28
81,SZ000570,苏常柴Ａ,5.97,0.5934179999999999,9.94,2025-02-28
82,SZ300068,南都电源,20.81,-0.070754,-0.34,2025-02-28
83,SZ300007,汉威科技,43.2,-6.536160000000001,-15.13,2025-02-28
84,SZ300245,天玑科技,24.53,-2.8234030000000003,-11.51,2025-02-28
85,SH603683,晶华新材,12.23,1.220554,9.98,2025-02-28
86,SZ300738,奥飞数据,22.38,-2.24919,-10.05,2025-02-28
87,SH603300,海南华铁,9.99,-0.942057,-9.43,2025-02-28
88,SH600622,光大嘉宝,3.95,0.199475,5.05,2025-02-28
89,SZ000818,航锦科技,31.45,-1.20139,-3.82,2025-02-28
90,SZ002307,北新路桥,4.47,0.3330149999999999,7.45,2025-02-28
91,SZ002527,新时达,17.24,-1.5136719999999997,-8.78,2025-02-28
92,SH605398,新炬网络,40.7,2.82458,6.94,2025-02-28
93,SH601727,上海电气,8.16,-0.453696,-5.56,2025-02-28
94,SH603595,东尼电子,21.25,2.122875,9.99,2025-02-28
95,SZ000977,浪潮信息,59.21,-3.386812,-5.72,2025-02-28
96,SZ300458,全志科技,54.49,-2.353968,-4.32,2025-02-28
97,SZ300473,德尔股份,31.33,1.619761,5.17,2025-02-28
98,SZ002382,蓝帆医疗,5.51,0.549898,9.98,2025-02-28
99,SZ300403,汉宇集团,20.16,-0.979776,-4.86,2025-02-28
100,SH603958,哈森股份,16.26,1.6276260000000002,10.01,2025-02-28
1,SH600811,东方集团,2.14,-0.157504,-7.36,2025-03-01
2,SH600206,有研新材,20.8,2.07792,9.99,2025-03-01
3,SZ002167,东方锆业,9.79,0.9789999999999999,10.0,2025-03-01
4,SH603200,上海洗霸,37.46,3.749746,10.01,2025-03-01
5,SH603496,恒为科技,38.1,3.8061900000000004,9.99,2025-03-01
6,SH603663,三祥新材,27.94,2.7940000000000005,10.0,2025-03-01
7,SZ002276,万马股份,14.38,1.440876,10.02,2025-03-01
8,SZ002582,好想你,11.8,1.17646,9.97,2025-03-01
9,SH600126,杭钢股份,13.25,-1.3236750000000002,-9.99,2025-03-01
10,SZ002298,中电兴发,7.84,0.7808640000000001,9.96,2025-03-01
11,SH601789,宁波建工,6.13,0.6160650000000001,10.05,2025-03-01
12,SH605100,华丰股份,25.32,2.529468,9.99,2025-03-01
13,SZ002178,延华智能,7.58,0.7587579999999999,10.01,2025-03-01
14,SZ300324,旋极信息,4.67,0.165785,3.55,2025-03-01
15,SH600734,实达集团,4.8,0.48432,10.09,2025-03-01
16,SZ300059,东方财富,23.23,-0.8664790000000001,-3.73,2025-03-01
17,SH600693,东百集团,6.78,0.682068,10.06,2025-03-01
18,SH600589,大位科技,7.41,0.467571,6.31,2025-03-01
19,SZ300031,宝通科技,38.78,1.9971700000000001,5.15,2025-03-01
20,SZ000678,襄阳轴承,8.69,0.8689999999999999,10.0,2025-03-01
21,SH600884,杉杉股份,8.25,0.38775,4.7,2025-03-01
22,SZ002261,拓维信息,33.5,-1.6616,-4.96,2025-03-01
23,SZ300458,全志科技,54.49,-2.353968,-4.32,2025-03-01
24,SH600519,贵州茅台,1500.79,15.458136999999999,1.03,2025-03-01
25,SH600470,六国化工,6.05,0.605,10.0,2025-03-01
26,SZ002140,东华科技,10.07,1.012035,10.05,2025-03-01
27,SH600238,海南椰岛,7.02,0.7041059999999999,10.03,2025-03-01
28,SZ002575,群兴玩具,11.35,1.13273,9.98,2025-03-01
29,SZ002031,巨轮智能,9.97,-0.7666930000000001,-7.69,2025-03-01
30,SH605066,天正电气,8.06,0.802776,9.96,2025-03-01
31,SZ002195,岩山科技,5.0,0.050499999999999996,1.01,2025-03-01
32,SZ002065,东华软件,11.66,-1.169498,-10.03,2025-03-01
33,SZ300409,道氏技术,18.0,0.030600000000000002,0.17,2025-03-01
34,SH603683,晶华新材,12.23,1.2205540000000001,9.98,2025-03-01
35,SZ300251,光线传媒,23.91,-0.36343200000000003,-1.52,2025-03-01
36,SZ301022,海泰科,28.92,5.784000000000001,20.0,2025-03-01
37,SZ002369,卓翼科技,13.08,-0.6095280000000001,-4.66,2025-03-01
38,SH603037,凯众股份,19.38,1.936062,9.99,2025-03-01
39,SH603690,至纯科技,28.61,2.861,10.0,2025-03-01
40,SH603660,苏州科达,9.44,0.5276959999999999,5.59,2025-03-01
41,SZ002227,奥 特 迅,12.52,1.2545039999999998,10.02,2025-03-01
42,SZ300766,每日互动,53.33,1.050601,1.97,2025-03-01
43,SH605300,佳禾食品,18.43,1.8485289999999999,10.03,2025-03-01
44,SH600665,天地源,3.26,0.33056399999999997,10.14,2025-03-01
45,SZ001359,平安电工,29.83,2.9800169999999997,9.99,2025-03-01
46,SZ002580,圣阳股份,14.93,-0.558382,-3.74,2025-03-01
47,SH600696,岩石股份,12.28,1.2329119999999998,10.04,2025-03-01
48,SZ300473,德尔股份,31.33,1.619761,5.17,2025-03-01
